key,field,english,spanish (fill in)
element.1.fact,fact,The lightest element in the universe! Stars like our Sun are mostly made of hydrogen.,¡El elemento más ligero del universo! Las estrellas como nuestro Sol están hechas mayormente de hidrógeno.
element.1.whatIf,whatIf,"If you lit a balloon full of hydrogen with a match, it would explode in a giant fireball — that's actually what made the famous Hindenburg blimp crash!","Si encendieras un globo lleno de hidrógeno con una cerilla, explotaría en una bola de fuego gigante — ¡eso fue precisamente lo que hizo que el famoso dirigible Hindenburg se estrellara!"
element.1.where,where,"Found everywhere in the universe — about 75% of all matter! On Earth, mostly bonded with oxygen as water (H?O).","Se encuentra en todo el universo — ¡aproximadamente el 75% de toda la materia! En la Tierra, principalmente unida al oxígeno en forma de agua (H?O)."
element.1.uses.0,use,Rocket fuel,Combustible para cohetes
element.1.uses.1,use,Stars,Estrellas
element.1.uses.2,use,Water,Agua
element.2.fact,fact,Makes balloons float and your voice squeaky! It's so light it can escape Earth's gravity.,¡Hace que los globos floten y tu voz chille! Es tan ligera que puede escapar de la gravedad terrestre.
element.2.whatIf,whatIf,"If you breathed only helium, you'd pass out in seconds because there's no oxygen in it. Always keep regular air in the mix!","Si solo respiraras helio, te desmayarías en segundos porque no tiene oxígeno. ¡Mantén siempre aire normal en la mezcla!"
element.2.where,where,"Surprisingly rare on Earth! Most comes from natural gas wells in Texas, Qatar, and Algeria. We're actually running low on it.","¡Sorprendentemente raro en la Tierra! La mayoría proviene de pozos de gas natural en Texas, Catar y Argelia. En realidad se nos está acabando."
element.2.uses.0,use,Balloons,Globos
element.2.uses.1,use,Blimps,Dirigibles
element.2.uses.2,use,MRI machines,Máquinas de resonancia magnética
element.3.fact,fact,Powers your phone and laptop! It's the lightest metal that exists.,¡Alimenta tu teléfono y portátil! Es el metal más ligero que existe.
element.3.whatIf,whatIf,"If you dropped pure lithium into water, it would fizz and pop and possibly catch fire — that's why batteries should never get wet!","Si dejas caer litio puro en el agua, burbujearía, estallaría y posiblemente se incendiaría — ¡por eso las baterías nunca deberían mojarse!"
element.3.where,where,"Mined from salt flats in Chile, Australia, and Bolivia. Demand is exploding because of electric cars.","Extraído de salinas en Chile, Australia y Bolivia. La demanda está disparando debido a los coches eléctricos."
element.3.uses.0,use,Batteries,Baterías
element.3.uses.1,use,Phones,Teléfonos
element.3.uses.2,use,Medicine,Medicina
element.4.fact,fact,Used in space telescopes because it's super light but really strong.,Se usa en telescopios espaciales porque es muy ligero pero muy potente.
element.4.whatIf,whatIf,"If you breathed in beryllium dust, it could give you a serious lung disease — that's why workers wear masks around it.","Si inhalas polvo de berilio, podría provocarte una enfermedad pulmonar grave — por eso los trabajadores llevan mascarilla alrededor."
element.4.where,where,Mined mostly in the United States (Utah!) and China. Found in gemstones like emeralds and aquamarine.,Minaba principalmente en Estados Unidos (¡Utah!) y China. Se encuentra en gemas como esmeraldas y aguamarina.
element.4.uses.0,use,Telescopes,Telescopios
element.4.uses.1,use,Spacecraft,Naves espaciales
element.4.uses.2,use,X-ray windows,Ventanas de rayos X
