"key","field","english","spanish (fill in)"
"body.part.brain.name","part name","Brain",""
"body.part.brain.desc","part desc","Your brain is about 73% water — made of hydrogen and oxygen!",""
"body.part.brain.hint","part hint","73% water, electrical signals",""
"body.part.brain.el.O.role","element role","Water that cushions and feeds brain cells",""
"body.part.brain.el.C.role","element role","Building block of every neuron and brain cell",""
"body.part.brain.el.H.role","element role","Part of water and all the fats that insulate your nerves",""
"body.part.brain.el.N.role","element role","Found in neurotransmitters — the chemical messengers",""
"body.part.brain.el.P.role","element role","Powers ATP, the energy molecule your brain burns through",""
"body.part.brain.el.K.role","element role","Creates electrical signals so neurons can talk to each other",""
"body.part.brain.el.Na.role","element role","Works with potassium to fire nerve signals",""
"body.part.brain.el.Fe.role","element role","Carries oxygen to the brain through your blood",""
"body.part.thyroid.name","part name","Thyroid",""
"body.part.thyroid.desc","part desc","This tiny butterfly-shaped gland in your neck controls your metabolism using iodine!",""
"body.part.thyroid.hint","part hint","Needs iodine to work",""
"body.part.thyroid.el.I.role","element role","Essential — the thyroid is the only organ that absorbs iodine to make hormones",""
"body.part.thyroid.el.Se.role","element role","Protects the thyroid from damage and helps convert hormones",""
"body.part.thyroid.el.O.role","element role","Water keeps the gland working properly",""
"body.part.thyroid.el.C.role","element role","Makes up the hormone molecules themselves",""
"body.part.thyroid.el.N.role","element role","Part of the amino acid tyrosine used to build thyroid hormones",""
"body.part.thyroid.el.Zn.role","element role","Helps the body use thyroid hormones correctly",""
"body.part.heart.name","part name","Heart",""
"body.part.heart.desc","part desc","Your heart beats about 100,000 times a day — powered by electrical signals from ions!",""
"body.part.heart.hint","part hint","100,000 beats per day",""
"body.part.heart.el.K.role","element role","Controls your heartbeat rhythm — too little and your heart skips!",""
"body.part.heart.el.Ca.role","element role","Makes heart muscles squeeze with each beat",""
"body.part.heart.el.Na.role","element role","Creates the electrical wave that triggers each heartbeat",""
"body.part.heart.el.O.role","element role","Fuel for the hard-working heart muscle",""
"body.part.heart.el.C.role","element role","Builds the muscle fibers of the heart wall",""
"body.part.heart.el.Mg.role","element role","Keeps the heartbeat steady and prevents cramps",""
"body.part.heart.el.Fe.role","element role","In the blood flowing through — carries oxygen everywhere",""
"body.part.lungs.name","part name","Lungs",""
"body.part.lungs.desc","part desc","Your lungs have a surface area the size of a tennis court — all to swap O₂ and CO₂!",""
"body.part.lungs.hint","part hint","Tennis-court surface area",""
"body.part.lungs.el.O.role","element role","The whole reason lungs exist — pulling oxygen from the air!",""
"body.part.lungs.el.C.role","element role","You breathe OUT carbon as CO₂ with every exhale",""
"body.part.lungs.el.H.role","element role","In the water vapor you breathe out and the mucus lining",""
"body.part.lungs.el.N.role","element role","78% of what you inhale is nitrogen (but your body ignores it)",""
"body.part.lungs.el.P.role","element role","Part of surfactant — the soap-like coating that keeps lungs inflated",""
"body.part.lungs.el.S.role","element role","In the proteins that give lung tissue its stretchy structure",""
"body.part.stomach.name","part name","Stomach & Organs",""
"body.part.stomach.desc","part desc","Your stomach acid is strong enough to dissolve metal — thanks to hydrochloric acid!",""
"body.part.stomach.hint","part hint","Acid that dissolves metal",""
"body.part.stomach.el.Cl.role","element role","Makes hydrochloric acid (HCl) to break down food",""
"body.part.stomach.el.H.role","element role","The other half of stomach acid — hydrogen ions!",""
"body.part.stomach.el.O.role","element role","In water, bile, and digestive enzymes",""
"body.part.stomach.el.C.role","element role","Builds the enzymes that chop up your food",""
"body.part.stomach.el.N.role","element role","Found in every digestive enzyme (they're all proteins)",""
"body.part.stomach.el.Zn.role","element role","Needed to make digestive enzymes work properly",""
"body.part.stomach.el.Na.role","element role","In the bicarbonate that protects your stomach lining from its own acid!",""
"body.part.muscles.name","part name","Muscles",""
"body.part.muscles.desc","part desc","You have over 600 muscles — they're mostly water, protein, and a dash of minerals!",""
"body.part.muscles.hint","part hint","600+ muscles, mostly water",""
"body.part.muscles.el.O.role","element role","Muscles are about 75% water",""
"body.part.muscles.el.C.role","element role","Builds the protein fibers (actin and myosin) that contract",""
"body.part.muscles.el.H.role","element role","Part of water and every protein strand",""
"body.part.muscles.el.N.role","element role","Muscles are mostly protein — and nitrogen is key to every amino acid",""
"body.part.muscles.el.Ca.role","element role","Triggers muscle contraction — every flex starts with calcium!",""
"body.part.muscles.el.K.role","element role","Prevents cramps and helps muscles relax after contracting",""
"body.part.muscles.el.Mg.role","element role","Helps muscles relax — low magnesium = cramps!",""
"body.part.muscles.el.S.role","element role","In the amino acids that give muscles their structure",""
"body.part.bones.name","part name","Bones & Teeth",""
"body.part.bones.desc","part desc","Your bones are alive! They constantly rebuild themselves using calcium and phosphorus.",""
"body.part.bones.hint","part hint","Alive & always rebuilding",""
"body.part.bones.el.Ca.role","element role","The star of the show — makes bones hard and strong!",""
"body.part.bones.el.P.role","element role","Combines with calcium to form hydroxyapatite — the crystal in bones",""
"body.part.bones.el.O.role","element role","Part of the mineral crystal structure and water in bone marrow",""
"body.part.bones.el.C.role","element role","In the collagen fibers that give bones flexibility",""
"body.part.bones.el.Mg.role","element role","Makes up about 1% of bone — helps with bone density",""
"body.part.bones.el.F.role","element role","Hardens tooth enamel — that's why it's in toothpaste!",""
"body.part.bones.el.Sr.role","element role","Your bones contain tiny amounts — it behaves like calcium!",""
"body.part.blood.name","part name","Blood",""
"body.part.blood.desc","part desc","You have about 5 liters of blood — and its red color comes from iron!",""
"body.part.blood.hint","part hint","5 liters, iron = red color",""
"body.part.blood.el.Fe.role","element role","The iron in hemoglobin grabs oxygen and carries it everywhere — AND makes blood red!",""
"body.part.blood.el.O.role","element role","Blood is mostly water — and it carries dissolved oxygen to every cell",""
"body.part.blood.el.H.role","element role","Part of water and helps maintain blood pH",""
"body.part.blood.el.C.role","element role","Builds hemoglobin, white blood cells, and clotting proteins",""
"body.part.blood.el.Na.role","element role","The reason blood tastes salty! Regulates blood pressure",""
"body.part.blood.el.Cl.role","element role","Partners with sodium to keep blood volume balanced",""
"body.part.blood.el.K.role","element role","Keeps blood pressure in check alongside sodium",""
"body.part.blood.el.Cu.role","element role","Helps the body absorb iron — copper deficiency = anemia",""
"body.part.blood.el.Zn.role","element role","Supports white blood cells that fight infections",""
"body.part.skin.name","part name","Skin & Hair",""
"body.part.skin.desc","part desc","Your skin is your largest organ — about 2 square meters of it! Hair and nails are made of keratin protein.",""
"body.part.skin.hint","part hint","Largest organ, 2m²",""
"body.part.skin.el.C.role","element role","Builds keratin — the tough protein in skin, hair, and nails",""
"body.part.skin.el.O.role","element role","In the water that keeps skin hydrated and flexible",""
"body.part.skin.el.H.role","element role","Part of water and every protein in your skin",""
"body.part.skin.el.N.role","element role","In the amino acids that build keratin and collagen",""
"body.part.skin.el.S.role","element role","Makes disulfide bonds — the reason curly hair keeps its shape!",""
"body.part.skin.el.Zn.role","element role","Helps skin heal and fights acne — zinc cream is a real thing!",""
"body.part.skin.el.Se.role","element role","Protects skin from sun damage",""
